no,wpp,node,dl,ml,sl,l,db,mb,sb,b
1,571,41,1,13,30,LU,103,25,19,BT
2,571,42,1,11,15,LU,103,20,46,BT
3,571,43,1,8,30,LU,103,17,41,BT
4,571,44,1,7,11,LU,103,17,22,BT
5,571,45,1,6,4,LU,103,17,23,BT
6,571,46,1,5,18,LU,103,17,10,BT
7,571,47,0,51,23,LU,103,9,24,BT
8,571,48,0,50,31,LU,103,8,57,BT
9,571,49,0,44,28,LU,103,6,51,BT
10,571,50,0,43,12,LU,103,5,8,BT
11,571,51,0,41,30,LU,103,1,39,BT
12,571,52,0,41,27,LU,102,59,32,BT
13,571,53,0,43,28,LU,102,53,55,BT
14,711,1,1,12,56,LU,103,26,16,BT
15,711,2,1,11,44,LU,103,34,0,BT
16,711,3,1,11,56,LU,103,34,20,BT
17,711,4,1,11,17,LU,103,39,38,BT
18,711,5,1,10,46,LU,103,40,15,BT
19,711,6,1,7,49,LU,103,44,26,BT
20,711,7,1,10,17,LU,103,48,18,BT
21,711,8,1,11,45,LU,103,51,35,BT
22,711,9,1,12,26,LU,103,52,51,BT
23,711,10,1,16,10,LU,104,2,0,BT
24,711,11,1,17,32,LU,104,2,36,BT
25,711,12,1,17,17,LU,104,4,36,BT
26,711,13,1,16,16,LU,104,7,57,BT
27,711,14,1,16,15,LU,104,10,2,BT
28,711,15,1,16,16,LU,104,12,7,BT
29,711,16,1,16,34,LU,104,14,13,BT
30,711,17,1,16,55,LU,104,16,18,BT
31,711,18,1,16,55,LU,104,18,23,BT
32,711,19,1,17,18,LU,104,20,29,BT
33,711,20,1,18,1,LU,104,22,34,BT
34,711,21,1,18,23,LU,104,23,14,BT
35,711,22,1,19,46,LU,104,24,59,BT
36,711,23,1,21,31,LU,104,26,38,BT
37,711,24,1,23,9,LU,104,28,19,BT
38,711,25,1,23,53,LU,104,29,42,BT
39,711,26,1,23,59,LU,104,29,40,BT
40,711,27,1,25,29,LU,104,29,51,BT
41,711,28,1,31,8,LU,104,33,47,BT
42,711,29,1,38,24,LU,104,42,21,BT
43,711,30,1,56,39,LU,104,46,17,BT
44,711,31,2,9,54,LU,104,58,23,BT
45,711,32,3,3,3,LU,104,48,31,BT
46,711,33,4,1,1,LU,104,43,14,BT
47,711,34,4,2,51,LU,104,44,11,BT
48,711,35,5,4,34,LU,105,28,25,BT
49,711,36,6,10,4,LU,105,48,40,BT
50,711,37,6,11,36,LU,105,54,8,BT
51,711,38,7,6,4,LU,107,10,5,BT
52,711,39,7,44,34,LU,109,4,21,BT
53,711,40,7,43,10,LU,109,37,22,BT
54,711,40a,7,23,41,LU,110,6,33,BT
55,711,40b,7,0,54,LU,110,30,33,BT
56,711,40c,6,34,27,LU,110,50,29,BT
57,711,41,6,11,6,LU,111,3,17,BT
58,711,42,6,6,39,LU,111,3,7,BT
59,711,43,5,44,29,LU,110,51,46,BT
60,711,44,5,13,7,LU,110,40,35,BT
61,711,45,4,20,24,LU,110,17,3,BT
62,711,46,3,35,35,LU,110,11,26,BT
63,711,47,2,53,23,LU,110,13,10,BT
64,711,48,2,4,59,LU,109,38,8,BT
65,712,1,4,9,53,LS,105,49,58,BT
66,712,2,3,25,31,LS,107,57,57,BT
67,712,3,3,4,21,LS,110,12,39,BT
68,712,4,3,2,43,LS,110,38,30,BT
69,712,5,3,2,17,LS,110,38,50,BT
