no,wpp,node,dl,ml,sl,l,db,mb,sb,b
1,571,1,5,36,34,LU,95,21,55,BT
2,571,2,5,48,19,LU,95,22,33,BT
3,571,3,5,54,25,LU,95,13,2,BT
4,571,4,6,24,58,LU,94,29,24,BT
5,571,5,6,38,30,LU,94,37,60,BT
6,571,6,6,43,24,LU,94,40,42,BT
7,571,7,7,2,24,LU,94,55,37,BT
8,571,8,7,36,14,LU,95,22,38,BT
9,571,9,8,3,20,LU,95,40,37,BT
10,571,10,8,13,17,LU,95,56,8,BT
11,571,11,7,7,33,LU,96,37,31,BT
12,571,12,6,37,47,LU,97,45,52,BT
13,571,13,5,48,29,LU,98,23,48,BT
14,571,14,5,23,2,LU,98,55,57,BT
15,571,15,5,18,2,LU,99,0,56,BT
16,571,16,4,53,23,LU,99,18,57,BT
17,571,17,4,34,44,LU,99,40,11,BT
18,571,18,4,20,41,LU,99,52,12,BT
19,571,19,4,6,25,LU,99,57,14,BT
20,571,20,4,2,37,LU,99,54,46,BT
21,571,21,3,58,35,LU,99,53,54,BT
22,571,22,3,54,6,LU,99,54,36,BT
23,571,23,3,50,50,LU,99,56,22,BT
24,571,24,3,48,16,LU,99,59,3,BT
25,571,25,3,46,39,LU,100,2,24,BT
26,571,26,3,46,8,LU,100,5,39,BT
27,571,27,3,46,31,LU,100,8,56,BT
28,571,28,3,47,3,LU,100,10,30,BT
29,571,29,3,36,55,LU,100,18,60,BT
30,571,30,3,31,54,LU,100,27,9,BT
31,571,31,3,18,36,LU,100,42,33,BT
32,571,32,3,1,14,LU,100,49,11,BT
33,571,33,2,51,36,LU,101,0,12,BT
34,571,34,2,41,30,LU,101,12,6,BT
35,571,35,2,15,24,LU,101,46,30,BT
36,571,36,1,55,12,LU,102,13,24,BT
37,571,37,1,41,12,LU,102,34,60,BT
38,571,38,1,19,6,LU,103,2,6,BT
39,571,39,1,19,30,LU,103,3,54,BT
40,571,40,1,15,0,LU,103,22,48,BT
41,571,41,1,13,30,LU,103,25,19,BT
42,571,42,1,11,16,LU,103,20,46,BT
43,571,43,1,8,30,LU,103,17,41,BT
44,571,44,1,7,11,LU,103,17,22,BT
45,571,45,1,6,4,LU,103,17,23,BT
46,571,46,1,5,19,LU,103,17,10,BT
47,571,47,0,51,24,LU,103,9,24,BT
48,571,48,0,50,31,LU,103,8,57,BT
49,571,49,0,44,29,LU,103,6,51,BT
50,571,50,0,43,12,LU,103,5,8,BT
51,571,51,0,41,30,LU,103,1,39,BT
52,571,52,0,41,28,LU,102,59,32,BT
53,571,53,0,43,29,LU,102,53,55,BT
