no,wpp,node,dl,ml,sl,l,db,mb,sb,b
1,715,1,1,34,40,LU,125,9,27,BT
2,715,2,2,18,1,LU,127,46,41,BT
3,715,3,2,35,42,LU,128,27,41,BT
4,715,4,2,25,19,LU,128,41,38,BT
5,715,5,0,19,24,LU,129,51,5,BT
6,715,6,0,16,50,LU,129,55,24,BT
7,715,7,0,11,13,LU,130,0,8,BT
8,715,8,0,11,5,LU,130,2,30,BT
9,715,9,0,10,57,LU,130,2,57,BT
10,715,10,0,10,57,LU,130,3,0,BT
11,715,11,0,8,52,LU,130,7,5,BT
12,715,12,0,7,53,LU,130,9,5,BT
13,715,13,0,6,42,LU,130,12,48,BT
14,715,14,0,6,38,LU,130,13,8,BT
15,715,15,0,6,38,LU,130,14,39,BT
16,715,16,0,6,6,LU,130,16,37,BT
17,715,17,0,2,31,LU,130,52,19,BT
18,715,18,0,2,17,LU,130,53,44,BT
19,715,19,0,1,14,LS,131,2,39,BT
20,715,20,0,22,51,LS,131,14,30,BT
21,715,21,0,23,45,LS,131,15,1,BT
22,715,22,0,23,55,LS,131,15,26,BT
23,715,23,0,45,20,LS,131,26,32,BT
24,715,24,4,15,6,LS,134,52,28,BT
25,715,25,5,16,27,LS,133,9,20,BT
26,714,1,1,3,2,LS,123,19,17,BT
27,714,2,1,8,47,LS,123,17,58,BT
28,714,3,1,9,22,LS,123,18,11,BT
29,714,4,1,10,29,LS,123,18,56,BT
30,714,5,1,11,17,LS,123,19,29,BT
31,714,6,1,13,14,LS,123,22,52,BT
32,714,7,1,27,36,LS,123,30,31,BT
33,714,8,1,28,38,LS,123,31,54,BT
34,714,9,1,38,14,LS,123,37,17,BT
35,714,10,1,39,36,LS,124,24,2,BT
36,714,11,1,46,52,LS,125,18,59,BT
37,714,12,1,46,50,LS,125,22,1,BT
38,714,13,1,56,22,LS,125,55,3,BT
39,714,14,1,58,30,LS,125,55,7,BT
40,714,15,2,28,36,LS,126,2,48,BT
41,714,16,3,6,46,LS,126,5,23,BT
42,714,17,3,3,47,LS,126,48,4,BT
43,714,18,2,51,56,LS,128,9,41,BT
44,714,19,3,51,49,LS,130,51,1,BT
45,714,20,3,52,4,LS,130,55,58,BT
46,714,21,3,52,44,LS,130,57,21,BT
47,714,22,3,52,39,LS,130,57,31,BT
48,714,23,3,53,1,LS,130,57,51,BT
49,714,24,3,54,25,LS,131,3,14,BT
50,714,25,3,21,21,LS,131,3,25,BT
51,714,26,3,54,54,LS,131,5,27,BT
52,714,27,3,54,57,LS,131,5,48,BT
53,714,28,3,55,8,LS,131,9,52,BT
54,714,29,3,55,8,LS,131,10,58,BT
55,714,30,3,55,36,LS,131,12,20,BT
56,714,31,3,58,16,LS,131,22,3,BT
57,714,32,4,4,7,LS,131,27,1,BT
58,714,33,4,22,44,LS,131,35,2,BT
59,714,34,4,24,59,LS,131,36,24,BT
60,714,35,4,25,24,LS,131,36,35,BT
61,714,36,4,32,19,LS,131,40,53,BT
62,714,37,4,35,4,LS,131,41,27,BT
63,714,38,4,36,4,LS,131,42,13,BT
64,714,39,4,42,0,LS,131,43,45,BT
65,714,40,4,47,17,LS,131,44,25,BT
66,714,41,5,16,43,LS,133,7,19,BT
