no,wpp,node,dl,ml,sl,l,db,mb,sb,b
1,714,42,6,0,26,LS,132,50,42,BT
2,714,43,6,59,13,LS,132,0,30,BT
3,714,44,7,4,56,LS,131,54,46,BT
4,714,45,7,6,4,LS,131,54,55,BT
5,714,46,8,1,51,LS,131,17,33,BT
6,714,47,8,1,54,LS,131,17,31,BT
7,714,48,8,3,43,LS,131,16,52,BT
8,714,49,8,7,7,LS,131,9,59,BT
9,714,50,8,20,16,LS,130,45,20,BT
10,714,51,8,15,42,LS,129,0,58,BT
11,714,52,8,12,3,LS,128,49,32,BT
12,714,53,8,16,16,LS,128,14,4,BT
13,714,54,8,15,25,LS,128,4,44,BT
14,714,55,8,15,35,LS,128,2,42,BT
15,714,56,8,11,42,LS,127,48,28,BT
16,714,57,8,12,52,LS,127,44,29,BT
17,714,58,8,13,1,LS,127,36,4,BT
18,714,59,8,18,3,LS,127,27,0,BT
19,714,60,8,18,54,LS,127,25,24,BT
20,715,23,4,15,6,LS,134,52,28,BT
21,715,24,5,16,27,LS,133,9,20,BT
22,718,1,9,7,40,LS,141,1,10,BT
23,718,2,9,8,8,LS,141,1,14,BT
24,718,3,9,23,0,LS,140,52,0,BT
25,718,4,9,24,30,LS,140,49,30,BT
26,718,5,9,52,0,LS,140,29,0,BT
27,718,6,10,24,0,LS,139,46,0,BT
28,718,7,10,50,0,LS,139,12,0,BT
29,718,8,10,24,0,LS,138,38,0,BT
30,718,9,10,22,0,LS,138,35,0,BT
31,718,10,10,9,0,LS,138,13,0,BT
32,718,11,9,57,0,LS,137,45,0,BT
33,718,12,9,8,0,LS,135,29,0,BT
34,718,13,9,17,0,LS,135,13,0,BT
35,718,14,9,22,0,LS,135,3,0,BT
36,718,15,9,25,0,LS,134,50,0,BT
37,718,16,9,4,58,LS,133,55,31,BT
38,718,17,8,53,0,LS,133,23,0,BT
39,718,18,9,6,0,LS,132,46,0,BT
40,718,19,9,14,0,LS,132,33,0,BT
41,718,20,9,16,0,LS,132,30,0,BT
42,718,21,9,20,0,LS,132,20,0,BT
43,718,22,9,23,0,LS,132,12,0,BT
44,718,23,9,31,0,LS,131,58,0,BT
45,718,24,9,33,0,LS,131,52,0,BT
46,718,25,9,36,0,LS,131,43,0,BT
47,718,26,9,40,0,LS,131,31,0,BT
48,718,27,9,42,0,LS,131,28,0,BT
49,718,28,9,47,0,LS,130,55,0,BT
50,718,29,9,45,0,LS,130,43,0,BT
51,718,30,9,39,0,LS,130,6,0,BT
52,718,31,9,45,0,LS,129,30,0,BT
53,718,32,9,59,0,LS,129,1,0,BT
54,718,33,10,26,60,LS,128,18,0,BT
55,718,34,10,28,0,LS,128,14,0,BT
56,718,35,10,29,55,LS,128,12,12,BT
57,718,36,10,11,16,LS,128,7,39,BT
58,718,37,9,56,36,LS,128,3,39,BT
59,718,38,9,43,3,LS,127,59,31,BT
60,718,39,9,26,39,LS,127,55,13,BT
61,718,40,9,10,34,LS,127,51,55,BT
62,718,41,8,56,7,LS,127,47,54,BT
63,718,42,8,44,2,LS,127,43,34,BT
64,718,43,8,34,18,LS,127,38,55,BT
65,718,44,8,24,38,LS,127,32,24,BT
66,718,45,8,19,36,LS,127,26,45,BT
