no,wpp,node,dl,ml,sl,l,db,mb,sb,b
1,712,6,3,51,28,LS,115,22,59,BT
2,712,7,4,43,1,LS,115,42,38,BT
3,712,8,4,43,22,LS,115,42,46,BT
4,712,9,4,50,28,LS,115,46,18,BT
5,712,10,4,53,42,LS,115,40,42,BT
6,712,11,4,55,55,LS,115,38,16,BT
7,712,12,4,56,20,LS,115,37,51,BT
8,712,13,6,56,26,LS,116,16,20,BT
9,712,14,7,12,9,LS,115,53,13,BT
10,712,15,7,56,8,LS,114,25,26,BT
11,713,1,1,1,10,LS,118,59,18,BT
12,713,2,0,45,4,LS,120,6,2,BT
13,713,3,4,41,22,LS,121,28,18,BT
14,713,4,4,41,25,LS,121,28,19,BT
15,713,5,7,20,2,LS,121,49,39,BT
16,713,6,8,23,0,LS,122,40,56,BT
17,713,7,7,23,57,LS,121,49,13,BT
18,713,8,8,29,17,LS,119,35,29,BT
19,713,9,8,29,30,LS,119,35,16,BT
20,713,10,8,29,44,LS,119,35,1,BT
21,713,11,8,29,46,LS,119,34,38,BT
22,713,12,8,29,47,LS,119,34,20,BT
23,713,13,8,25,38,LS,119,27,18,BT
24,713,14,8,25,51,LS,119,20,7,BT
25,713,15,8,27,13,LS,119,16,22,BT
26,713,16,8,18,52,LS,119,0,15,BT
27,713,17,8,22,25,LS,117,6,18,BT
28,713,18,8,22,20,LS,117,4,56,BT
29,713,19,8,22,24,LS,117,4,15,BT
30,713,20,8,22,39,LS,117,3,34,BT
31,713,21,8,22,32,LS,117,3,12,BT
32,713,22,8,20,51,LS,116,43,6,BT
33,713,23,8,26,49,LS,116,1,55,BT
34,713,24,8,22,41,LS,115,42,39,BT
35,713,25,8,5,53,LS,114,26,9,BT
36,713,26,8,4,6,LS,114,25,41,BT
