no,wpp,node,dl,ml,sl,l,db,mb,sb,b
1,713,3,4,41,22,LS,121,28,18,BT
2,713,4,4,41,25,LS,121,28,19,BT
3,713,5,7,20,2,LS,121,49,39,BT
4,713,6,8,22,60,LS,122,40,56,BT
5,713,6,7,23,57,LS,121,49,13,BT
6,714,1,1,3,2,LS,123,19,17,BT
7,714,2,1,8,47,LS,123,17,58,BT
8,714,3,1,9,22,LS,123,18,11,BT
9,714,4,1,10,29,LS,123,18,56,BT
10,714,5,1,11,17,LS,123,19,29,BT
11,714,6,1,13,14,LS,123,22,52,BT
12,714,7,1,27,36,LS,123,30,31,BT
13,714,8,1,28,38,LS,123,31,54,BT
14,714,9,1,38,14,LS,123,37,17,BT
15,714,10,1,39,36,LS,124,24,2,BT
16,714,11,1,46,52,LS,125,18,59,BT
17,714,12,1,46,50,LS,125,22,1,BT
18,714,13,1,56,22,LS,125,55,3,BT
19,714,14,1,58,30,LS,125,55,7,BT
20,714,15,2,28,36,LS,126,2,48,BT
21,714,16,3,6,46,LS,126,5,23,BT
22,714,17,3,3,47,LS,126,48,4,BT
23,714,18,2,51,56,LS,128,9,41,BT
24,714,19,3,51,49,LS,130,51,1,BT
25,714,20,3,52,4,LS,130,55,58,BT
26,714,21,3,52,44,LS,130,57,21,BT
27,714,22,3,52,39,LS,130,57,31,BT
28,714,23,3,53,1,LS,130,57,51,BT
29,714,24,3,54,25,LS,131,3,14,BT
30,714,25,3,54,21,LS,131,3,25,BT
31,714,26,3,54,54,LS,131,5,27,BT
32,714,27,3,54,57,LS,131,5,48,BT
33,714,28,3,55,8,LS,131,9,52,BT
34,714,29,3,55,8,LS,131,10,58,BT
35,714,30,3,55,36,LS,131,12,20,BT
36,714,31,3,58,16,LS,131,22,3,BT
37,714,32,4,4,7,LS,131,27,1,BT
38,714,33,4,22,44,LS,131,35,2,BT
39,714,34,4,24,59,LS,131,36,24,BT
40,714,35,4,25,24,LS,131,36,35,BT
41,714,36,4,32,19,LS,131,40,53,BT
42,714,37,4,35,4,LS,131,41,27,BT
43,714,38,4,36,4,LS,131,42,13,BT
44,714,39,4,42,0,LS,131,43,45,BT
45,714,40,4,47,17,LS,131,44,25,BT
46,714,41,5,16,43,LS,133,7,19,BT
47,714,42,6,0,26,LS,132,50,42,BT
48,714,43,6,59,13,LS,132,0,30,BT
49,714,44,7,4,56,LS,131,54,46,BT
50,714,45,7,6,4,LS,131,53,15,BT
51,714,46,8,1,51,LS,131,17,33,BT
52,714,47,8,1,54,LS,131,17,31,BT
53,714,48,8,3,43,LS,131,16,52,BT
54,714,49,8,7,7,LS,131,9,59,BT
55,714,50,8,20,16,LS,130,45,20,BT
56,714,51,8,15,42,LS,129,0,58,BT
57,714,52,8,12,3,LS,128,49,32,BT
58,714,53,8,16,16,LS,128,14,4,BT
59,714,54,8,15,25,LS,128,4,44,BT
60,714,55,8,15,35,LS,128,2,42,BT
61,714,56,8,11,42,LS,127,48,28,BT
62,714,57,8,12,52,LS,127,44,29,BT
63,714,58,8,13,1,LS,127,36,4,BT
64,714,59,8,18,3,LS,127,27,0,BT
65,714,60,8,18,54,LS,127,25,24,BT
66,714,61,8,17,50,LS,127,23,18,BT
67,714,62,8,14,56,LS,127,16,14,BT
68,714,63,8,13,36,LS,127,12,41,BT
69,714,64,8,13,11,LS,127,8,51,BT
70,714,65,8,13,6,LS,127,5,27,BT
71,714,66,8,11,56,LS,127,1,26,BT
72,714,67,8,11,46,LS,126,57,55,BT
73,714,68,8,11,38,LS,126,57,16,BT
74,714,69,8,11,54,LS,126,52,59,BT
75,714,70,8,12,37,LS,126,48,38,BT
76,714,71,8,12,50,LS,126,44,21,BT
77,714,72,8,12,45,LS,126,40,8,BT
78,714,73,8,13,17,LS,126,35,49,BT
79,714,74,8,13,13,LS,126,33,46,BT
80,714,75,8,11,48,LS,126,27,20,BT
81,714,76,8,12,39,LS,126,18,32,BT
82,714,77,8,15,3,LS,126,10,36,BT
83,714,78,8,15,35,LS,126,5,32,BT
84,714,79,8,15,17,LS,125,55,46,BT
85,714,80,8,15,31,LS,125,52,11,BT
86,714,81,8,14,57,LS,125,51,20,BT
88,714,82,8,12,15,LS,125,47,20,BT
89,714,83,8,11,18,LS,125,46,18,BT
90,714,84,8,7,20,LS,125,40,22,BT
91,714,85,8,6,49,LS,125,38,34,BT
92,714,86,8,7,13,LS,125,37,22,BT
93,714,87,8,11,8,LS,125,31,26,BT
94,714,88,8,14,47,LS,125,26,39,BT
95,714,89,8,22,19,LS,125,19,59,BT
96,714,90,8,26,19,LS,125,16,5,BT
97,714,91,8,27,51,LS,125,9,46,BT
98,714,92,8,19,9,LS,125,8,25,BT
99,714,93,8,7,56,LS,124,28,19,BT
100,714,94,8,10,38,LS,124,23,4,BT
101,714,95,8,10,58,LS,124,22,13,BT
102,714,96,8,10,50,LS,124,19,9,BT
103,714,97,8,17,35,LS,124,3,31,BT
104,714,98,8,14,59,LS,123,55,27,BT
105,714,99,8,17,56,LS,123,20,43,BT
106,714,100,8,16,12,LS,123,20,1,BT
107,714,101,8,19,31,LS,123,1,11,BT
108,714,102,8,19,22,LS,123,0,46,BT
109,715,24,5,16,27,LS,133,9,20,BT
106,714,100,8,16,12,LS,123,20,1,BT
107,714,101,8,19,31,LS,123,1,11,BT
108,714,102,8,19,22,LS,123,0,46,BT
