1,713,1,1,1,10,LU,118,59,18,BT
2,713,2,0,45,4,LU,120,6,2,BT
3,715,1,1,34,40,LU,125,9,27,BT
4,715,2,2,18,1,LU,127,46,41,BT
5,715,3,2,35,42,LU,128,27,41,BT
6,715,4,2,25,19,LU,128,41,38,BT
7,716,1,4,10,10,LU,117,54,29,BT
8,716,2,4,10,10,LU,117,56,31,BT
9,716,3,4,10,10,LU,118,1,43,BT
10,716,4,4,10,9,LU,118,5,52,BT
11,716,5,4,9,30,LU,118,16,53,BT
12,716,6,4,1,33,LU,118,15,8,BT
13,716,7,4,1,28,LU,118,31,16,BT
14,716,8,3,56,16,LU,118,31,18,BT
15,716,9,3,55,15,LU,118,33,8,BT
16,716,10,3,54,41,LU,118,34,42,BT
17,716,11,3,54,17,LU,118,36,45,BT
18,716,12,3,54,17,LU,118,39,15,BT
19,716,13,3,55,5,LU,118,42,29,BT
20,716,14,3,56,2,LU,118,44,21,BT
21,716,15,3,57,52,LU,118,46,37,BT
22,716,16,3,57,4,LU,118,48,6,BT
23,716,17,3,56,23,LU,118,50,4,BT
24,716,18,3,56,1,LU,118,52,57,BT
25,716,19,3,56,8,LU,118,54,37,BT
26,716,20,3,56,29,LU,118,56,15,BT
27,716,21,3,57,24,LU,118,58,34,BT
28,716,22,3,58,32,LU,119,0,20,BT
29,716,23,3,59,38,LU,119,1,34,BT
30,716,24,4,1,15,LU,119,2,54,BT
31,716,25,4,3,50,LU,119,4,14,BT
32,716,26,4,5,26,LU,119,4,42,BT
33,716,27,4,7,30,LU,119,4,58,BT
34,716,28,4,8,45,LU,119,4,57,BT
35,716,29,4,10,0,LU,119,4,49,BT
36,716,30,4,10,0,LU,119,8,40,BT
37,716,31,3,6,41,LU,119,55,34,BT
38,716,32,3,26,36,LU,121,21,31,BT
39,716,33,3,48,50,LU,122,56,1,BT
40,716,34,4,56,58,LU,124,45,56,BT
41,716,35,5,2,39,LU,125,27,21,BT
42,716,36,5,54,22,LU,126,23,31,BT
43,716,37,6,25,16,LU,127,19,8,BT
44,716,38,6,24,25,LU,128,39,2,BT
45,716,39,6,24,20,LU,129,31,31,BT
46,716,40,6,24,17,LU,130,2,53,BT
47,716,41,6,20,0,LU,130,5,13,BT
48,716,42,6,10,42,LU,130,9,51,BT
49,716,43,5,58,24,LU,130,15,5,BT
50,716,44,5,45,47,LU,130,19,29,BT
51,716,45,5,36,35,LU,130,22,8,BT
52,716,46,5,25,36,LU,130,24,42,BT
53,716,47,5,18,27,LU,130,34,50,BT
54,716,48,5,3,3,LU,130,52,55,BT
55,716,49,4,43,18,LU,131,10,55,BT
56,716,50,4,31,21,LU,131,19,44,BT
57,716,51,4,25,10,LU,131,23,47,BT
58,716,52,4,24,9,LU,131,37,17,BT
59,716,53,3,4,51,LU,130,59,59,BT
60,716,54,3,1,5,LU,130,58,57,BT
61,716,55,2,58,11,LU,130,58,59,BT
62,716,56,2,54,16,LU,131,0,13,BT
